genes	NC	NNC	NNT	NT
Gnai3	3742	3784	2604	2794
Pbsn	0	0	0	0
Cdc45	652	277	232	607
H19	0	0	0	0
Scml2	27	7	5	21
Apoh	0	0	0	0
Narf	820	835	663	793
Cav2	26	19	6	21
Klf6	13807	16480	13966	13318
Scmh1	396	206	136	326
Cox5a	642	330	252	553
Tbx2	5	14	4	7
Tbx4	0	0	0	0
Zfy2	0	0	0	0
Ngfr	0	0	2	1
Wnt3	1	0	0	0
Wnt9a	0	0	0	0
Fer	223	205	175	166
Xpo6	3174	4226	3759	3507
Tfe3	1388	1527	1397	1278
Axin2	10	10	6	53
Brat1	196	177	135	237
Gna12	1037	594	516	1049
Slc22a18	26	2	4	10
Itgb2l	9633	11878	7000	6837
Igsf5	49	38	27	25
Pih1d2	1	5	0	3
Dlat	500	242	121	353
Sdhd	983	628	447	733
Fgf23	0	0	0	0
Fgf6	0	0	0	0
Ccnd2	866	381	235	1017
Gpr107	710	934	769	764
Nalcn	0	0	0	0
Btbd17	0	0	0	0
Slfn4	11494	21292	9843	7680
Th	0	0	0	0
Ins2	0	0	0	0
Scnn1g	0	0	0	0
Drp2	19	9	3	9
Tspan32	592	382	349	639
Lhx2	1	1	0	5
Clec2g	2	1	17	17
Gmpr	71	4	21	60
Glra1	0	1	0	1
Mid2	2	0	1	2
Trim25	1403	1322	1482	1669
Dgke	119	53	36	98
Scpep1	218	74	77	197
Mnt	1326	1089	1017	1540
Itgb2	15157	19220	15925	14222
Hddc2	96	27	10	38
Tpd52l1	0	0	0	0
Pemt	7	3	5	4
Cdh1	197	83	180	209
Cdh4	0	0	0	0
Ckmt1	0	0	0	0
Bcl6b	0	0	4	2
Clec10a	82	17	31	98
Alox12	45	52	59	69
Arvcf	23	12	19	69
Comt	331	104	113	304
Rtca	254	108	77	204
Dbt	125	60	11	57
Dazap2	7082	7375	5050	5457
Mcts1	181	111	131	161
Rem1	52	15	11	30
Rnf17	1	0	0	4
Trappc10	1861	1471	1115	1857
Ccm2	759	913	828	718
Wap	0	0	0	0
Tbrg4	739	414	317	666
Tmprss2	0	0	0	0
Mx1	47	11	37	57
Fap	9	2	2	2
Gcg	0	0	0	0
Ndufa9	307	139	109	257
Egfl6	0	0	0	3
Lck	50	13	30	85
Tssk3	24	18	8	19
Cttnbp2	4	3	3	0
Galnt1	2014	1178	894	1479
Myf5	0	0	0	0
Mkrn2	293	191	183	273
Pparg	5	4	6	8
Raf1	3461	4265	4142	3535
45170	1128	1106	777	962
Pdgfb	15	0	2	11
Acvrl1	2137	3875	2058	2008
Grasp	24	13	14	30
Acvr1b	718	887	475	555
Tom1l2	233	158	95	196
Gpa33	0	0	0	0
Zfp385a	425	226	129	259
Itga5	432	112	151	447
Gabra2	0	0	1	0
Wdr77	549	491	719	831
Adora3	85	143	56	44
Atp5f1	2405	1486	1371	2364
Sox9	0	0	0	1
Hnrnpd	3500	1933	1269	2230
Dynlt1c	191	151	137	138
C1d	508	347	172	343
Gm2a	2232	1257	1099	1982
Krit1	1162	1005	618	862
Clcn4-2	586	359	364	559
Vmn2r88	0	0	0	0
Grm6	11	8	23	18
Sema4f	194	306	254	244
Hk2	2487	1926	1929	2697
Myo18a	1260	1491	1417	1472
Sez6	1	0	0	0
Haao	102	107	61	96
Cd52	6334	7253	4788	4127
Abhd15	74	38	78	79
Hoxb6	0	0	0	2
Loxl3	26	7	13	60
Tcl1b5	0	0	0	0
Btn1a1	0	2	0	0
Kat2b	956	879	800	811
Rab5b	3019	3253	2891	2761
Cryba1	4	4	2	4
Dnmt3l	30	19	19	22
Aire	1	0	0	0
Icosl	536	676	397	378
Spg7	483	235	200	360
Sult5a1	0	0	2	0
Rpl13	4426	1381	1324	3893
Chmp1a	871	858	548	774
Rpa1	1203	355	373	1003
Serpinf1	71	27	29	85
Tubgcp3	1097	598	500	1005
Oprm1	46	57	65	56
Polr3d	132	43	45	122
Tcf7	130	30	29	126
Ddx3x	8979	8534	7843	7253
Il12rb1	39	18	5	10
Slc5a5	2	0	0	0
Kcnn3	5	8	0	2
Usp32	2696	4291	3316	2129
Car4	0	1	0	0
Txnrd3	37	13	8	31
Fasl	21	7	6	52
Znf512b	390	273	103	306
Dnajc5	3263	3606	3070	3385
Tpd52l2	587	499	435	780
Fmr1	1683	1260	878	1371
Bcl11a	734	198	240	708
Il4	9	0	2	5
Pxmp4	407	392	190	295
Dlg3	35	17	6	60
Gnb1l	16	1	8	21
Dbh	0	0	0	0
Mmp11	13	3	3	9
Smarcb1	615	309	292	642
Vpreb3	36	11	16	71
Hip1r	1848	1508	1325	2533
Nsun5	91	37	33	90
Top1mt	40	3	4	25
Hoxa10	3	0	0	2
Hoxa4	4	2	1	4
Gm38393	0	0	0	1
Mmp14	44	10	7	43
Slc7a7	265	172	188	276
Oxa1l	483	205	214	370
