Gene	log2FoldChange	pvalue	padj
hsa-miR-483-3p	-5.269809802	1.50E-09	6.14E-07
hsa-miR-125a-5p	-3.256831908	1.04E-08	2.14E-06
hsa-miR-204-5p	-6.599114079	1.60E-08	2.19E-06
hsa-miR-16-2-3p	4.157294356	6.44E-08	6.60E-06
hsa-miR-497-5p	-3.320390446	1.78E-07	1.28E-05
hsa-miR-381-3p	-4.058373701	1.87E-07	1.28E-05
hsa-miR-20b-5p	3.886138507	2.93E-07	1.71E-05
hsa-miR-451a	5.510048449	3.66E-07	1.88E-05
hsa-miR-433-3p	-4.718453512	4.53E-07	2.06E-05
hsa-miR-18b-5p	3.933859089	5.42E-07	2.08E-05
hsa-miR-199b-5p	-3.547715965	6.05E-07	2.08E-05
hsa-miR-144-3p	6.839786626	6.10E-07	2.08E-05
hsa-miR-363-3p	4.294227331	7.66E-07	2.30E-05
hsa-miR-145-5p	-4.656112459	8.13E-07	2.30E-05
hsa-miR-411-5p	-3.966937914	8.61E-07	2.30E-05
hsa-miR-139-5p	-3.748272968	8.99E-07	2.30E-05
hsa-miR-133a-3p	-6.032044427	1.52E-06	3.67E-05
hsa-miR-125b-5p	-3.474113877	1.94E-06	4.43E-05
hsa-miR-144-5p	5.14782236	2.07E-06	4.46E-05
hsa-miR-337-3p	-3.305749015	4.30E-06	8.82E-05
hsa-miR-125b-1-3p	-4.529541565	4.68E-06	9.09E-05
hsa-miR-127-5p	-3.819521506	4.89E-06	9.09E-05
hsa-miR-199a-3p	-2.875718593	5.10E-06	9.09E-05
hsa-miR-199b-3p	-2.860028195	5.62E-06	9.60E-05
hsa-miR-654-3p	-2.911893567	6.41E-06	0.000104043
hsa-miR-299-5p	-3.362892614	6.60E-06	0.000104043
hsa-miR-328-3p	-3.820055367	7.33E-06	0.000111362
hsa-miR-130a-3p	-2.453834433	1.71E-05	0.000250659
hsa-miR-154-5p	-3.446073185	1.80E-05	0.000254443
hsa-miR-199a-5p	-3.059811189	1.95E-05	0.000266809
hsa-miR-381-5p	-4.106691782	3.43E-05	0.000442683
hsa-miR-337-5p	-2.971841498	3.46E-05	0.000442683
hsa-miR-887-3p	-3.430501657	3.98E-05	0.000493915
hsa-miR-486-5p	4.692904357	4.91E-05	0.000588036
hsa-miR-379-5p	-3.115964097	5.09E-05	0.000588036
hsa-miR-15b-3p	3.006564824	5.16E-05	0.000588036
hsa-miR-149-5p	-2.16967108	5.42E-05	0.000601052
hsa-miR-15b-5p	2.928752894	5.85E-05	0.000631544
hsa-miR-195-5p	-3.217218239	6.66E-05	0.000700633
hsa-miR-136-3p	-3.037968853	8.25E-05	0.000827264
hsa-miR-106b-5p	2.47248763	8.27E-05	0.000827264
hsa-miR-96-5p	2.593199832	9.99E-05	0.000970294
hsa-miR-106a-5p	2.587352441	0.000101763	0.000970294
hsa-miR-656-3p	-3.091713829	0.00011407	0.001062928
hsa-miR-369-5p	-3.115566319	0.0001248	0.001116117
hsa-miR-214-3p	-3.0296726	0.000125223	0.001116117
hsa-miR-196a-5p	3.378532068	0.000143851	0.001254869
hsa-miR-487b-3p	-2.911614688	0.000179098	0.001529799
hsa-miR-299-3p	-3.026649089	0.000198459	0.001660573
hsa-miR-224-5p	2.71289657	0.000246889	0.002024486
hsa-miR-218-5p	-3.404109794	0.000261329	0.002100883
hsa-miR-409-3p	-2.83177717	0.000289091	0.002247866
hsa-miR-382-5p	-2.712004696	0.000290578	0.002247866
hsa-miR-655-3p	-3.207585604	0.000317166	0.002408109
hsa-miR-424-3p	-2.490041209	0.000327445	0.002440954
hsa-miR-145-3p	-3.915051281	0.00039166	0.002860846
hsa-miR-574-3p	-1.940240025	0.000407523	0.002860846
hsa-miR-33b-5p	2.778029821	0.000409425	0.002860846
hsa-miR-154-3p	-2.85899709	0.000411683	0.002860846
hsa-miR-136-5p	-3.139810779	0.000422657	0.002888153
hsa-miR-376a-3p	-2.951353099	0.000491159	0.003301236
hsa-miR-376c-3p	-3.095600569	0.000514823	0.003404478
hsa-miR-21-5p	2.29757118	0.000596357	0.003881051
hsa-miR-99b-5p	-1.954502689	0.000611863	0.003919745
hsa-miR-423-3p	-1.656084748	0.000680951	0.004295231
hsa-miR-329-3p	-2.621697414	0.000694667	0.004315357
hsa-miR-942-5p	4.270715893	0.00071913	0.004400647
hsa-miR-4492	-3.7575137	0.00073884	0.004413001
hsa-miR-494-3p	-2.634698114	0.000742676	0.004413001
hsa-miR-424-5p	-2.440909126	0.000759249	0.004447031
hsa-miR-1	-3.689126575	0.000809312	0.004651614
hsa-let-7b-3p	-2.187555729	0.000816869	0.004651614
hsa-miR-18a-5p	2.332962491	0.000900386	0.005056961
hsa-miR-582-3p	3.133104049	0.000947346	0.00524881
hsa-miR-20a-5p	2.081788831	0.000964469	0.00527243
hsa-miR-19b-1-5p	2.277675385	0.001005688	0.005377424
hsa-miR-376a-5p	-2.46685452	0.001009906	0.005377424
hsa-miR-455-3p	-2.233411683	0.001129602	0.00593765
hsa-miR-93-5p	1.864663231	0.001242862	0.006399388
hsa-miR-29b-2-5p	-2.13774076	0.001248661	0.006399388
hsa-miR-10b-5p	-2.165776449	0.00128007	0.006479366
hsa-miR-585-3p	-2.838997165	0.00132778	0.006638901
hsa-miR-32-5p	2.440785884	0.00153477	0.007581394
hsa-miR-504-5p	-2.732405351	0.00162578	0.007800324
hsa-miR-21-3p	2.303295737	0.001629354	0.007800324
hsa-miR-26a-5p	-1.814122816	0.001636166	0.007800324
hsa-miR-15a-5p	2.351324265	0.001694975	0.007910304
hsa-miR-1296-5p	-3.231441932	0.001709252	0.007910304
hsa-miR-185-5p	2.505725618	0.001717115	0.007910304
hsa-miR-143-5p	-3.341644892	0.001799571	0.008198047
hsa-miR-134-5p	-2.692604775	0.001822466	0.008211112
hsa-miR-624-5p	3.543627302	0.001919033	0.008552214
hsa-miR-485-3p	-2.575265389	0.001977785	0.008719268
hsa-miR-124-3p	-3.196127865	0.002090686	0.009118949
hsa-miR-19a-3p	2.174403046	0.002140573	0.009238262
hsa-miR-223-3p	3.386313853	0.002169044	0.009263625
hsa-miR-1249	-3.287282403	0.002206425	0.009326125
hsa-miR-376b-3p	-2.503505955	0.002357058	0.009861162
hsa-miR-150-5p	-2.709634807	0.00243476	0.010083349
hsa-miR-483-5p	-2.769695689	0.002500682	0.010252794
hsa-miR-99a-5p	-2.572288126	0.002598183	0.010547079
hsa-miR-135b-5p	2.558746146	0.002742755	0.011024799
hsa-miR-3656	-2.63188891	0.003254349	0.012954207
hsa-miR-495-3p	-2.35917291	0.003624052	0.014287127
hsa-miR-582-5p	2.0648147	0.003829733	0.014954195
hsa-miR-132-5p	-2.18739966	0.003932207	0.015209481
hsa-miR-132-3p	-1.990441415	0.004106447	0.015734983
hsa-let-7c-5p	-2.142791929	0.004152557	0.015764338
hsa-miR-193a-5p	-1.759963773	0.00424117	0.01587836
hsa-miR-100-5p	-3.030421962	0.004260048	0.01587836
hsa-miR-143-3p	-2.892557312	0.004524228	0.016711112
hsa-miR-425-5p	1.822642012	0.004595748	0.016728188
hsa-miR-409-5p	-2.309497724	0.004610452	0.016728188
hsa-miR-25-3p	1.760526452	0.004813246	0.017203497
hsa-miR-19b-3p	1.845549602	0.004825371	0.017203497
hsa-miR-323a-3p	-2.41343654	0.004965897	0.017551877
hsa-miR-127-3p	-2.610022461	0.005266324	0.018454641
hsa-miR-17-5p	1.699938412	0.005542824	0.019219084
hsa-miR-20a-3p	2.185993915	0.005580283	0.019219084
hsa-miR-214-5p	-2.128933576	0.005625098	0.019219084
hsa-miR-7641	-2.575739497	0.005715753	0.019367429
hsa-miR-200c-3p	1.772380514	0.006121694	0.020419188
hsa-miR-30a-3p	-2.153664936	0.006125756	0.020419188
hsa-miR-29c-5p	-1.600828552	0.006285553	0.020782876
hsa-miR-125b-2-3p	-2.363054269	0.006966585	0.022850399
hsa-miR-142-3p	2.638348196	0.007299188	0.023751325
hsa-miR-205-5p	1.88177083	0.007987404	0.025699453
hsa-miR-4485	-2.443701368	0.008023244	0.025699453
hsa-miR-196b-5p	-1.612326609	0.008394774	0.026681066
hsa-miR-141-3p	2.210927338	0.008556295	0.026985239
hsa-let-7e-3p	-1.897986717	0.008968563	0.028069549
hsa-miR-190a-3p	-1.922820787	0.009110891	0.02829898
hsa-miR-126-5p	-1.894033929	0.011193552	0.034506438
hsa-miR-212-3p	-1.648448345	0.011426642	0.034784078
hsa-miR-4286	-1.658248071	0.011453294	0.034784078
hsa-miR-503-5p	-1.801100418	0.011730342	0.035202426
hsa-miR-125a-3p	-1.897159464	0.011762762	0.035202426
hsa-miR-1306-5p	-1.961048955	0.012000596	0.035653946
hsa-let-7e-5p	-1.542628766	0.012316562	0.036075422
hsa-miR-27a-3p	1.535790167	0.012318437	0.036075422
hsa-miR-550a-3p	1.668962842	0.013151053	0.038217303
hsa-miR-455-5p	-2.037675223	0.013236237	0.038217303
hsa-miR-106b-3p	1.56133967	0.01361767	0.039043668
hsa-miR-23c	-2.086922335	0.013889856	0.03944402
hsa-miR-210-3p	1.693850642	0.013949714	0.03944402
hsa-miR-1260b	-1.311985036	0.015744372	0.044213647
hsa-miR-542-5p	-1.863011448	0.016411407	0.045773312
hsa-miR-205-3p	2.248508523	0.01719682	0.04763984
hsa-miR-497-3p	-2.203791463	0.018700364	0.051333148
hsa-miR-28-3p	-1.652097367	0.018827988	0.051333148
hsa-miR-675-3p	-2.098178993	0.018905623	0.051333148
hsa-miR-16-5p	1.592382625	0.019287571	0.052025686
hsa-miR-142-5p	2.213728074	0.021382476	0.057299447
hsa-miR-135a-5p	-2.703977582	0.022203631	0.059113562
hsa-miR-29c-3p	-1.366024151	0.023267678	0.061546762
hsa-miR-101-5p	-1.519829209	0.024460755	0.063892974
hsa-miR-200a-3p	1.81389971	0.024466334	0.063892974
hsa-miR-1260a	-1.221439558	0.024989787	0.06468666
hsa-miR-29a-3p	-1.540214452	0.025371994	0.06468666
hsa-miR-5100	-1.709202377	0.025388806	0.06468666
hsa-miR-543	-1.824423002	0.025401347	0.06468666
hsa-miR-99a-3p	-1.912599235	0.026109724	0.066080167
hsa-miR-342-5p	-1.392115346	0.026460017	0.066555871
hsa-let-7b-5p	-1.279959657	0.028523945	0.071309863
hsa-miR-140-3p	-1.44708471	0.029077839	0.072254023
hsa-miR-31-5p	2.162606341	0.029978136	0.073674731
hsa-miR-3910	-1.960703294	0.030008976	0.073674731
hsa-miR-182-5p	1.730482658	0.030652041	0.074805576
hsa-miR-15a-3p	1.877416303	0.031422113	0.076127129
hsa-miR-99b-3p	-1.74890862	0.031564907	0.076127129
hsa-miR-335-3p	1.596073531	0.032988668	0.079041361
hsa-miR-107	1.293846801	0.033158815	0.079041361
hsa-miR-29a-5p	-1.47293739	0.03352262	0.079446672
hsa-miR-183-3p	1.91377133	0.033839074	0.07973575
hsa-miR-320b	-1.109900858	0.035467597	0.083095512
hsa-miR-320a	-1.034068348	0.036133261	0.084174073
hsa-miR-330-5p	2.225793593	0.036489454	0.08431945
hsa-miR-652-5p	1.367280376	0.036752285	0.08431945
hsa-miR-301a-3p	1.401655657	0.036812638	0.08431945
hsa-miR-576-5p	1.853461307	0.037342043	0.085056875
hsa-miR-378a-3p	-1.421756484	0.039322709	0.089073539
hsa-miR-17-3p	1.070378937	0.040127772	0.089742828
hsa-miR-1180-3p	-1.571419524	0.04013335	0.089742828
hsa-miR-126-3p	-1.557470064	0.040312118	0.089742828
hsa-miR-361-5p	-1.189462332	0.040493715	0.089742828
hsa-miR-1247-5p	-2.064669058	0.041002891	0.090382716
hsa-miR-411-3p	-1.811643484	0.044411302	0.097372374
hsa-miR-28-5p	-1.355271696	0.046277321	0.10054407
hsa-miR-450a-5p	-1.47359434	0.046348364	0.10054407
hsa-miR-664b-3p	-1.528374189	0.047278391	0.101538452
hsa-miR-338-3p	1.794769063	0.047302059	0.101538452
hsa-miR-33a-3p	1.238768533	0.047957044	0.10240827
hsa-miR-4508	-2.001589117	0.049491671	0.105137746
hsa-miR-454-3p	1.170678634	0.050463738	0.106650167
hsa-miR-296-5p	-1.593993473	0.052333537	0.109491734
hsa-miR-377-3p	-1.778427048	0.052441389	0.109491734
hsa-miR-365a-3p	-1.289791227	0.052876496	0.109491734
hsa-miR-365b-3p	-1.289791227	0.052876496	0.109491734
hsa-miR-551b-3p	-1.388261203	0.055258476	0.113849121
hsa-miR-193b-3p	-1.408610636	0.056728565	0.116293558
hsa-miR-34c-5p	1.731269082	0.057498312	0.117285114
hsa-miR-30a-5p	-1.084924045	0.061928409	0.125696276
hsa-miR-194-5p	1.478703374	0.06433288	0.129933402
hsa-miR-200b-5p	1.53092532	0.064684098	0.130002353
